,Unnamed: 0,Unnamed: 0.1,NUMBER,ALPHA_J2000,DELTA_J2000,galex_FUV,galex_NUV,subaru_B,subaru_V,subaru_r,subaru_ip,subaru_zpp,ultravista_J,ultravista_H,ultravista_Ks,spitzer_irac_ch1,spitzer_irac_ch2,galex_FUV_err,galex_NUV_err,subaru_B_err,subaru_V_err,subaru_r_err,subaru_ip_err,subaru_zpp_err,ultravista_J_err,ultravista_H_err,ultravista_Ks_err,spitzer_irac_ch1_err,spitzer_irac_ch2_err,OFFSET_MAG,PHOTOZ,TYPE,ZPDF,MASS_BEST,MASS_MED,MASS_MED_MIN68,MASS_MED_MAX68,AGE,SFR_BEST,SFR_MED,SFR_MED_MIN68,SFR_MED_MAX68,SSFR_BEST,SSFR_MED,SSFR_MED_MIN68,SSFR_MED_MAX68,CLASS
213,13561,256873,542659,150.35801999999995,2.12626,0.056471,0.770418,0.7751939999999999,1.33665,1.80787,2.98368,4.01251,4.67736,5.49827,6.42804,4.38161,3.46233,0.042424,0.066221,0.027642,0.048982,0.040368,0.040233,0.032866,0.099493,0.12646400000000002,0.209752,0.154171,0.133167,-0.1685,0.6793,0,0.6793,9.51413,9.55,9.515989999999999,9.584019999999999,806396000.0,0.09117,0.1,0.032,0.168,-9.42297,-9.400030000000001,-9.46803,-9.33201,1
214,35326,723232,279144,149.60712,1.7094799999999999,0.23006999999999997,0.21647399999999997,0.21320799999999998,0.48612299999999997,0.643012,0.6874140000000001,0.898897,0.991765,0.834275,0.93201,1.0469700000000002,0.813262,0.055409,0.057540999999999995,0.016347,0.035379,0.027627,0.029493000000000002,0.043892,0.119799,0.149037,0.237222,0.059805,0.100842,-0.06064,0.4142,0,0.4142,8.33257,8.286719999999999,8.2076,8.37055,904792000.0,-0.65095,-0.57626,-0.7568,-0.34129,-8.98353,-8.87133,-9.09243,-8.568439999999999,1
215,3137,99867,225761,149.65476999999996,1.62289,0.090519,0.170239,0.5028050000000001,1.2046700000000001,1.7498,2.45674,3.6136800000000004,4.4684300000000015,5.82138,7.1280600000000005,6.99632,6.30105,0.056137,0.07616,0.022758,0.047266,0.041887,0.042674000000000004,0.037364999999999995,0.16978900000000002,0.215457,0.347545,0.094903,0.13658900000000002,-0.07927999999999999,0.4887,0,0.4887,9.34709,9.35713,9.30976,9.42741,1800000000.0,0.49257,0.43381000000000003,0.16955,0.54707,-8.854510000000003,-8.92994,-9.237169999999999,-8.82232,1
216,42426,825359,486095,149.92303,2.03945,0.057276,0.265306,0.23577399999999998,0.327959,0.339086,0.558208,0.7832520000000001,1.1536600000000001,0.9669270000000001,0.852625,0.740789,0.569967,0.04614,0.069923,0.016432,0.028379,0.020456000000000002,0.023150999999999998,0.031501999999999995,0.108198,0.13131500000000002,0.211616,0.0324,0.050036000000000004,0.01945,0.8623,0,0.8623,8.66569,8.649230000000001,8.584389999999999,8.712860000000001,718701000.0,-0.04963,-0.05644,-0.26061,0.05991000000000001,-8.71532,-8.69998,-9.011510000000001,-8.56814,1
217,11670,219412,466715,150.1723,2.0060700000000002,0.454791,1.33054,4.0850599999999995,17.7489,26.7683,44.3593,71.4621,117.04700000000001,157.80700000000004,208.12400000000002,171.025,151.562,0.047672000000000006,0.07457899999999999,0.060884,0.17031400000000002,0.14928,0.144902,0.049053,0.075771,0.11048599999999999,0.09843500000000001,0.781831,0.566403,-0.29078000000000004,0.32,0,0.32,10.86,10.8145,10.7725,10.8485,5000000000.0,-0.04508,-0.1022,-0.1709,-0.03271,-10.9051,-10.9022,-10.9717,-10.8327,1
218,22944,458945,895336,149.98641999999995,2.66008,0.033703,0.165796,0.15825799999999998,0.22494699999999998,0.25349099999999997,0.42356099999999997,0.675546,1.11361,0.9160149999999999,0.8855649999999999,1.18571,0.969951,0.034053,0.060830999999999996,0.014637,0.025865,0.019819999999999997,0.025729000000000002,0.033899,0.10006,0.126939,0.20992,0.033551,0.069146,0.00394,0.9951,0,0.9951,9.08814,9.01825,8.91286,9.10834,2000000000.0,-0.08966,0.17422,-0.09064,0.36763,-9.1778,-8.84728,-9.179039999999999,-8.55963,1
219,17857,380425,726503,149.94438,2.4012700000000002,0.040496,0.06314199999999999,0.5736720000000001,0.834067,0.757944,0.7711979999999999,0.8846809999999999,1.31213,1.3128600000000001,1.1441700000000001,1.7460900000000001,1.77368,0.047557,0.060279,0.024208,0.04038,0.028391000000000007,0.026418,0.032735,0.100137,0.12773800000000002,0.21535900000000002,0.050385,0.071853,0.00952,1.9838,0,1.9838,9.50415,9.504539999999999,9.4019,9.56725,286119000.0,1.1855,1.2018799999999998,1.1302,1.2721200000000001,-8.31865,-8.28783,-8.38417,-8.15605,1
220,27265,514682,457353,150.7049,1.9937799999999999,0.044875,0.10843,0.07821399999999999,0.120459,0.096974,0.17558800000000002,0.26959099999999997,0.280696,0.357324,0.9439719999999999,0.41877600000000004,0.258186,0.048373,0.064705,0.012687,0.022737,0.016242,0.024213,0.033233,0.10498099999999999,0.130129,0.20787399999999998,0.028451,0.09293799999999999,-0.00867,1.057,0,1.057,8.649280000000001,8.531410000000001,8.36743,8.65415,2300000000.0,-0.59868,-0.24253000000000002,-0.5353100000000001,0.05799,-9.24796,-8.77137,-9.18425,-8.31476,1
221,18636,396192,785424,149.46906,2.49084,0.456926,0.652593,0.6915100000000001,1.45426,1.72517,2.27504,2.5967,2.6139099999999997,2.86078,2.97911,3.2914800000000004,3.4323,0.059241999999999996,0.065748,0.026685000000000004,0.052833000000000005,0.040728,0.040267000000000004,0.037578,0.083174,0.12048199999999999,0.106616,0.104499,0.096888,-0.13243,0.49,0,0.49,8.889289999999997,8.82629,8.74012,8.8974,640543000.0,0.10732,0.1742,0.05139,0.43168999999999996,-8.78197,-8.703619999999999,-8.833689999999997,-8.30737,1
222,30473,620364,643645,150.23873,2.27768,0.096084,0.025443,0.159617,0.461617,0.609479,0.782097,1.0330700000000002,1.23736,1.27718,1.48148,0.9199950000000001,0.532428,0.038593999999999996,0.064746,0.014766,0.032385000000000004,0.026175,0.028307,0.037387000000000004,0.081524,0.108302,0.121519,0.052046,0.061704999999999996,0.01005,0.3641,0,0.3641,8.523819999999999,8.54687,8.44453,8.66715,4500000000.0,-1.49543,-1.26732,-1.41784,-1.0267700000000002,-10.0192,-9.83769,-10.016,-9.52473,1
