8.696 -1.897261 0.010218 0.0104646
8.899 -1.954308 0.010968 0.0112525
9.098 -1.986805 0.011352 0.0116572
9.296 -2.093038 0.012727 0.0131115
9.500 -2.169569 0.013906 0.0143663
9.695 -2.288670 0.015931 0.0165372
9.898 -2.386887 0.017814 0.0185765
10.101 -2.532613 0.021026 0.0220962
10.300 -2.586912 0.022300 0.0235069
10.496 -2.675814 0.024590 0.0260658
10.691 -2.875439 0.030755 0.0331005
10.891 -3.132294 0.040842 0.0450859
11.090 -3.449616 0.058154 0.0671636
11.285 -4.146806 0.119331 0.1650885
11.450 -4.845776 0.232261 0.5332907
