8.725 -3.477589 0.070916 0.0848
8.937 -3.551368 0.065532 0.0772079
9.135 -3.473198 0.063906 0.0749597
9.325 -3.326276 0.051324 0.0582124
9.532 -3.460812 0.058554 0.0676975
9.733 -3.398561 0.055006 0.0629977
9.922 -3.077609 0.040872 0.0451215
10.123 -3.138612 0.041453 0.0458311
10.325 -2.976909 0.035557 0.0387299
10.525 -2.897008 0.033715 0.0365545
10.722 -2.894250 0.033106 0.0358397
10.911 -3.000100 0.038332 0.0420457
11.109 -3.060683 0.041646 0.0460669
11.298 -3.341781 0.058045 0.0670172
11.516 -3.909736 0.111292 0.1500205
11.675 -4.762250 0.234712 0.5478601
